DateTimePhoto;Code_exp;Code_lieu;Phone;TypeNetwork_Fixed;real_lat;real_lon;photo_lat;photo_lon;distance
2019:11:05 13:07:59;N7S5a;FERM;Standard;4G;None;None;None;None;None
2019:11:05 13:15:14;N7S5b;FERM;Standard;4G;None;None;None;None;None
2019:11:05 13:26:20;N7S6a;ESCA;Standard;4G;47.08454722;6.754902778;47.084722;6.754722;23.79071524740499
2019:11:05 13:26:41;N7E6;ESCA;Experimental;2G;None;None;None;None;None
2019:11:05 13:49:20;N7S6b;ESCA;Standard;4G;47.08454722;6.754902778;47.084444;6.754722;17.892084520989183
2019:11:05 15:23:57;N7E7;MAIL;Experimental;2G;None;None;None;None;None
2019:11:05 15:29:33;N7S7;MAIL;Standard;4G;47.10309167;6.786602778;47.103056;6.786667;6.284246144863284
2019:11:05 16:06:17;N7E8;VREV;Experimental;2G;None;None;None;None;None
2019:11:05 16:06:36;N7S8;VREV;Standard;4G;47.10425;6.803947222;47.161944;6.930278;11532.527288042309
2019:11:05 16:47:07;N7E9;CRET;Experimental;2G;47.10624444;6.812616667;47.106389;6.827222;1108.7342585271767
2019:11:05 16:48:22;N7S9;CRET;Standard;4G;None;None;None;None;None
2019:11:05 17:26:28;N7E10;GACH;Experimental;2G;47.09890278;6.825008333;47.098333;6.823333;142.0857388967499
2019:11:05 17:27:22;N7S10;GACH;Standard;4G;47.09890278;6.825008333;47.099167;6.824722;36.54225213352532
2019:11:24 11:14:56;N8E1;GALO;Experimental;3G;47.05758611;6.746161111;47.056111;6.746111;164.03504347784428
2019:11:24 11:18:58;N8S1;GALO;Standard;4G;None;None;None;None;None
2019:11:24 11:42:27;N8E2;BCEC;Experimental;3G;47.0621;6.745227778;47.0575;6.751944;722.4019560751894
2019:11:24 11:46:21;N8S2;BCEC;Standard;4G;47.0621;6.745227778;47.052222;6.749444;1143.9218310242086
2019:11:24 12:13:28;N8S3;SAAB;Standard;4G;None;None;None;None;None
2019:11:24 12:13:38;N8E3;SAAB;Experimental;3G;47.07007778;6.751058333;47.052778;6.747778;1939.3296995273095
2019:11:24 12:35:32;N8E4;CCHP;Experimental;3G;47.07184722;6.749775;47.052778;6.747778;2125.385650305781
2019:11:24 12:35:44;N8S4;CCHP;Standard;4G;None;None;None;None;None
2019:11:24 13:05:43;N8E5;FERM;Experimental;3G;47.08025;6.75442;47.125278;7.035;21879.190983904868
2019:11:24 13:05:55;N8S5;FERM;Standard;4G;None;None;None;None;None
2019:11:24 13:27:44;N8S6;ESCA;Standard;4G;47.08454722;6.754902778;47.080278;6.754444;475.8965957074907
2019:11:24 13:28:03;N8E6;ESCA;Experimental;3G;None;None;None;None;None
2019:11:24 14:29:43;N8E7;CHOU;Experimental;3G;None;None;None;None;None
2019:11:24 14:30:53;N8S7;CHOU;Standard;4G;None;None;None;None;None
2019:11:24 15:49:54;N8E8;MAIL;Experimental;3G;None;None;None;None;None
2019:11:24 15:50:07;N8S8;MAIL;Standard;4G;None;None;None;None;None
2019:11:24 16:26:23;N8S9;VREV;Standard;4G;47.10425;6.803947222;47.161667;6.930278;11515.449102429384
2019:11:24 16:26:37;N8E9;VREV;Experimental;3G;47.10425;6.803947222;47.281667;7.052222;27258.720759901054
2019:11:24 16:51:49;N8E10;CRET;Experimental;3G;47.10624444;6.812616667;47.106389;6.828056;1172.0327353831026
2019:11:24 16:53:42;N8S10;CRET;Standard;4G;None;None;None;None;None
2019:11:24 17:33:44;N8E11;GACH;Experimental;3G;47.09890278;6.825008333;47.098889;6.824444;42.8690298759454
2019:11:24 17:35:10;N8S11;GACH;Standard;4G;47.09890278;6.825008333;47.099167;6.825278;35.80409512604647
2019:11:26 10:43:30;N9E1;GALO;Experimental;4G;None;None;None;None;None
2019:11:26 10:46:58;N9S1;GALO;Standard;4G;47.05758611;6.746161111;47.057222;6.746667;55.8189798894959
2019:11:26 11:12:26;N9E2;BCEC;Experimental;4G;47.0621;6.745227778;47.051389;6.749167;1227.7975727247388
2019:11:26 11:12:39;N9S2;BCEC;Standard;4G;47.0621;6.745227778;47.061667;6.745833;66.56693825069739
2019:11:26 11:41:40;N9S3;SAAB;Standard;4G;None;None;None;None;None
2019:11:26 11:41:55;N9E3;SAAB;Experimental;4G;47.07007778;6.751058333;47.074167;6.757222;652.5604499358794
2019:11:26 12:08:45;N9S4;CCHP;Standard;4G;None;None;None;None;None
2019:11:26 12:08:57;N9E4;CCHP;Experimental;4G;47.07184722;6.749775;47.058611;6.745;1515.5452957752598
2019:11:26 12:43:24;N9E5;FERM;Experimental;4G;None;None;None;None;None
2019:11:26 12:43:40;N9S5;FERM;Standard;4G;47.08025;6.75442;47.08;6.754167;33.787727456688835
2019:11:26 13:48:50;N9S6;CHOU;Standard;4G;47.09497778;6.755838889;47.095;6.756111;20.80613038768285
2019:11:26 13:49:11;N9E6;CHOU;Experimental;4G;None;None;None;None;None
2019:11:26 14:57:18;N9S7;MAIL;Standard;4G;None;None;None;None;None
2019:11:26 14:57:32;N9E7;MAIL;Experimental;4G;None;None;None;None;None
2019:11:26 15:33:59;N9E8;VREV;Experimental;4G;47.10425;6.803947222;47.280556;7.049444;27024.254849355577
2019:11:26 15:34:15;N9S8;VREV;Standard;4G;47.10425;6.803947222;47.103889;6.803889;40.37601436689319
2019:11:26 16:02:09;N9E9;CRET;Experimental;4G;47.10624444;6.812616667;47.106389;6.828056;1172.0327353831026
2019:11:26 16:03:35;N9S9;CRET;Standard;4G;47.10624444;6.812616667;47.105556;6.811111;137.54857799582925
2019:11:26 16:38:01;N9E10;GACH;Experimental;4G;47.09890278;6.825008333;47.098889;6.824444;42.8690298759454
2019:11:26 16:39:00;N9S10;GACH;Standard;4G;47.09890278;6.825008333;47.098889;6.824722;21.791043111391367
2019:12:07 10:40:44;N10S1;GALO;Standard;4G;47.05758611;6.746161111;47.057778;6.746111;21.669844840102634
2019:12:07 10:40:58;N10E1;GALO;Experimental;2G;None;None;None;None;None
2019:12:07 11:11:57;N10E2;BCEC;Experimental;2G;47.0621;6.745227778;47.056389;6.7475;657.952549036491
2019:12:07 11:12:10;N10S2;BCEC;Standard;4G;47.0621;6.745227778;47.058611;6.745;388.2649792873551
2019:12:07 11:38:33;N10S3;SAAB;Standard;4G;None;None;None;None;None
2019:12:07 11:38:45;N10E3;SAAB;Experimental;2G;None;None;None;None;None
2019:12:07 11:59:02;N10E4;CCHP;Experimental;2G;47.07184722;6.749775;47.056389;6.7475;1727.1904867646856
